"group","subgroup","occupation","year","workforce"
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2019",439824
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2019",265838
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2019",134266
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2019",45703
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2019",35730
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2019",86960
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2019",82850
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2019",271034
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2019",199621
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2019",161026
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2019",63082
"Service Occupations","Service Occupations","Healthcare Support Occupations","2019",258360
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2019",236248
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2019",169791
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2019",162063
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2019",84019
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2019",41367
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2019",371846
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2019",399630
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2019",3113
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2019",180042
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2019",70586
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2019",91921
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2019",188728
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2019",82144
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2018",410283
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Business & Financial Operations Occupations","2018",253821
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Computer & Mathematical Occupations","2018",131592
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Architecture & Engineering Occupations","2018",42150
"Management, Business, Science, & Arts Occupations","Computer, Engineering, & Science Occupations","Life, Physical, & Social Science Occupations","2018",39289
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Community & Social Service Occupations","2018",74610
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Legal Occupations","2018",80417
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Education Instruction, & Library Occupations","2018",270202
"Management, Business, Science, & Arts Occupations","Education, Legal, Community Service, Arts, & Media Occupations","Arts, Design, Entertainment, Sports, & Media Occupations","2018",200085
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Diagnosing & Treating Practitioners & Other Technical Occupations","2018",155934
"Management, Business, Science, & Arts Occupations","Healthcare Practitioners & Technical Occupations","Health Technologists & Technicians","2018",61122
"Service Occupations","Service Occupations","Healthcare Support Occupations","2018",243153
"Service Occupations","Service Occupations","Food Preparation & Serving Related Occupations","2018",229710
"Service Occupations","Service Occupations","Building & Grounds Cleaning & Maintenance Occupations","2018",181456
"Service Occupations","Service Occupations","Personal Care & Service Occupations","2018",162574
"Service Occupations","Protective Service Occupations","Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors","2018",74609
"Service Occupations","Protective Service Occupations","Law Enforcement Workers Including Supervisors","2018",40551
"Sales & Office Occupations","Sales & Office Occupations","Sales & Related Occupations","2018",367917
"Sales & Office Occupations","Sales & Office Occupations","Office & Administrative Support Occupations","2018",443985
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Farming, Fishing, & Forestry Occupations","2018",1763
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Construction & Extraction Occupations","2018",181985
"Natural Resources, Construction, & Maintenance Occupations","Natural Resources, Construction, & Maintenance Occupations","Installation, Maintenance, & Repair Occupations","2018",59333
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Production Occupations","2018",91533
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Transportation Occupations","2018",210247
"Production, Transportation, & Material Moving Occupations","Production, Transportation, & Material Moving Occupations","Material Moving Occupations","2018",85413
"Management, Business, Science, & Arts Occupations","Management, Business, & Financial Occupations","Management Occupations","2017",426654
