"birthplace","year","nativity","country_code","total_population"
"American Samoa","2019","Foreign born","ASM",292
"Albania","2019","Foreign born","ALB",21770
"Austria","2019","Foreign born","AUT",6007
"Belgium","2019","Foreign born","BEL",3932
"Bulgaria","2019","Foreign born","BGR",4356
"Czechoslovakia","2019","Foreign born",,1838
"Denmark","2019","Foreign born","DNK",1980
"Finland","2019","Foreign born","FIN",1373
"France","2019","Foreign born","FRA",23593
"Germany","2019","Foreign born","DEU",40227
"Greece","2019","Foreign born","GRC",25960
"Hungary","2019","Foreign born","HUN",7737
"Iceland","2019","Foreign born","ISL",371
"Ireland","2019","Foreign born","IRL",25708
"Italy","2019","Foreign born","ITA",83400
"Netherlands","2019","Foreign born","NLD",6064
"Norway","2019","Foreign born","NOR",2702
"Poland","2019","Foreign born","POL",66103
"Portugal","2019","Foreign born","PRT",8814
"Azores Islands","2019","Foreign born",,268
"Romania","2019","Foreign born","ROU",15744
"Spain","2019","Foreign born","ESP",13192
"Sweden","2019","Foreign born","SWE",2788
"Switzerland","2019","Foreign born","CHE",3849
"United Kingdom, not specified","2019","Foreign born","GBR",33698
"England","2019","Foreign born",,21438
"Scotland","2019","Foreign born",,5064
"Northern Ireland","2019","Foreign born",,1259
"Yugoslavia","2019","Foreign born",,3643
"Czech Republic","2019","Foreign born","CZE",1763
"Slovakia","2019","Foreign born","SVK",3008
"Bosnia and Herzegovina","2019","Foreign born","BIH",10484
"Croatia","2019","Foreign born","HRV",5098
"Macedonia","2019","Foreign born","MKD",4243
"Serbia","2019","Foreign born","SRB",5681
"Latvia","2019","Foreign born","LVA",2568
"Lithuania","2019","Foreign born","LTU",3639
"Armenia","2019","Foreign born","ARM",2041
"Azerbaijan","2019","Foreign born","AZE",5290
"Belarus","2019","Foreign born","BLR",15576
"Georgia (country)","2019","Foreign born","GEO",9392
"Moldova","2019","Foreign born","MDA",5398
"Russia","2019","Foreign born","RUS",78692
"Ukraine","2019","Foreign born","UKR",72407
"USSR","2019","Foreign born",,10205
"Europe","2019","Foreign born",,627
"Kosovo","2019","Foreign born",,2953
"Montenegro","2019","Foreign born","MNE",7279
"Other Europe, not specified","2019","Foreign born",,2571
"Afghanistan","2019","Foreign born","AFG",9698
"Bangladesh","2019","Foreign born","BGD",107698
"Bhutan","2019","Foreign born","BTN",4631
"Myanmar","2019","Foreign born","MMR",15300
"Cambodia","2019","Foreign born","KHM",7317
"China","2019","Foreign born","CHN",419011
"Hong Kong","2019","Foreign born","HKG",40408
"India","2019","Foreign born","IND",160850
"Indonesia","2019","Foreign born","IDN",5830
"Iran","2019","Foreign born","IRN",16281
"Iraq","2019","Foreign born","IRQ",8188
"Israel","2019","Foreign born","ISR",24021
"Japan","2019","Foreign born","JPN",24023
"Jordan","2019","Foreign born","JOR",6370
"Korea","2019","Foreign born",,84931
"Kazakhstan","2019","Foreign born","KAZ",4610
"Kyrgyzstan","2019","Foreign born","KGZ",974
"Kuwait","2019","Foreign born","KWT",794
"Laos","2019","Foreign born","LAO",2600
"Lebanon","2019","Foreign born","LBN",7973
"Malaysia","2019","Foreign born","MYS",9282
"Mongolia","2019","Foreign born","MNG",415
"Nepal","2019","Foreign born","NPL",13663
"Pakistan","2019","Foreign born","PAK",66387
"Philippines","2019","Foreign born","PHL",89482
"Saudi Arabia","2019","Foreign born","SAU",2398
"Singapore","2019","Foreign born","SGP",4212
"Sri Lanka","2019","Foreign born","LKA",6049
"Syria","2019","Foreign born","SYR",7569
"Taiwan","2019","Foreign born","TWN",26387
"Thailand","2019","Foreign born","THA",12857
"Turkey","2019","Foreign born","TUR",15155
"United Arab Emirates","2019","Foreign born","ARE",4266
"Uzbekistan","2019","Foreign born","UZB",31018
"Vietnam","2019","Foreign born","VNM",27778
"Yemen","2019","Foreign born","YEM",14990
"Asia","2019","Foreign born",,6172
"South Central Asia, not specified","2019","Foreign born",,2721
"Other Asia, not specified","2019","Foreign born",,4556
"Bermuda","2019","Foreign born","BMU",672
"Canada","2019","Foreign born","CAN",54198
"Mexico","2019","Foreign born","MEX",207379
"Belize","2019","Foreign born","BLZ",4937
"Costa Rica","2019","Foreign born","CRI",8558
"El Salvador","2019","Foreign born","SLV",107731
"Guatemala","2019","Foreign born","GTM",79312
"Honduras","2019","Foreign born","HND",53293
"Nicaragua","2019","Foreign born","NIC",10864
"Panama","2019","Foreign born","PAN",14285
"Antigua & Barbuda","2019","Foreign born","ATG",7888
"Bahamas","2019","Foreign born","BHS",1081
"Barbados","2019","Foreign born","BRB",23858
"Cuba","2019","Foreign born","CUB",19772
"Dominica","2019","Foreign born","DMA",12804
"Dominican Republic","2019","Foreign born","DOM",478796
"Grenada","2019","Foreign born","GRD",20454
"Haiti","2019","Foreign born","HTI",128392
"Jamaica","2019","Foreign born","JAM",240058
"St. Kitts-Nevis","2019","Foreign born",,3937
"St Lucia","2019","Foreign born","LCA",9755
"St Vincent & the Grenadines","2019","Foreign born","VCT",10219
"Trinidad & Tobago","2019","Foreign born","TTO",84904
"West Indies","2019","Foreign born",,4876
"Caribbean, Not Specified","2019","Foreign born",,6938
"Argentina","2019","Foreign born","ARG",21071
"Bolivia","2019","Foreign born","BOL",5300
"Brazil","2019","Foreign born","BRA",32452
"Chile","2019","Foreign born","CHL",10202
"Colombia","2019","Foreign born","COL",105088
"Ecuador","2019","Foreign born","ECU",152725
"Guyana","2019","Foreign born","GUY",155791
"Paraguay","2019","Foreign born","PRY",7752
"Peru","2019","Foreign born","PER",49984
"Uruguay","2019","Foreign born","URY",4034
"Venezuela","2019","Foreign born","VEN",18450
"South America","2019","Foreign born",,1707
"Americas, not specified","2019","Foreign born",,3289
"Algeria","2019","Foreign born","DZA",2705
"Cameroon","2019","Foreign born","CMR",1522
"Cabo Verde","2019","Foreign born","CPV",277
"Congo","2019","Foreign born","COG",2419
"Egypt","2019","Foreign born","EGY",24868
"Ethiopia","2019","Foreign born","ETH",6518
"Eritrea","2019","Foreign born","ERI",861
"Gambia","2019","Foreign born","GMB",2581
"Ghana","2019","Foreign born","GHA",39392
"Guinea","2019","Foreign born","GIN",4727
